"name","est","target"
"AC003071.1",0,NA
"AC003071.2",0,NA
"AC003072.1",141.782,NA
"AC003072.2",2,NA
"AC003080.1",0,NA
"AC003669.1",0,NA
"AC003685.2",0,NA
"AC003686.1",0,NA
"AC003688.1",0.75491,NA
"AC003688.3",0.75491,NA
"AC003958.1",0,NA
"AC003958.3",1,NA
"AC003958.4",0,NA
"AC003976.1",0,NA
"AC003989.1",0,NA
"AC003989.2",0,NA
"AC004004.1",0,NA
"AC004006.1",0,NA
"AC004022.1",0,NA
"AC004022.2",0,NA
"AC004024.1",2,NA
"AC004057.1",1740.64,NA
"AC004062.1",0,NA
"AC004066.1",2.01511,NA
"AC004069.2",0,NA
"AC004074.1",0,NA
"AC004076.1",13.869228072,NA
"AC004080.3",0,NA
"AC004099.1",1.5,NA
"AC004129.1",0,NA
"AC004129.2",0,NA
"AC004134.1",0,NA
"AC004217.2",0,NA
"AC004223.1",0,NA
"AC004223.3",0,NA
"AC004224.1",0,NA
"AC004381.3",6,NA
"AC004381.4",3,NA
"AC004383.1",1,NA
"AC004386.1",3.0005,NA
"AC004386.2",0,NA
"AC004453.1",13.5345,NA
"AC004461.1",0,NA
"AC004467.1",0,NA
"AC004486.1",4,NA
"AC004522.2",1,NA
"AC004552.1",2.07716,NA
"AC004554.1",0,NA
"AC004556.3",3.9194,NA
"AC004584.2",2,NA
"AC004593.3",50.253,NA
"AC004674.2",0,NA
"AC004675.2",0,NA
"AC004678.1",6,NA
"AC004687.2",54.1901,NA
"AC004690.1",0,NA
"AC004691.2",13.2568,NA
"AC004692.1",1.00302,NA
"AC004696.1",44,NA
"AC004706.2",0,NA
"AC004706.3",13.0528,NA
"AC004790.1",0,NA
"AC004801.1",1.00227,NA
"AC004801.2",19.00003,NA
"AC004805.1",0,NA
"AC004805.2",0,NA
"AC004805.3",0,NA
"AC004812.1",1,NA
"AC004825.1",0,NA
"AC004832.2",0,NA
"AC004832.3",51.5583,NA
"AC004835.2",0,NA
"AC004837.1",0,NA
"AC004839.3",193.5122,NA
"AC004840.1",1,NA
"AC004840.2",0,NA
"AC004852.1",0,NA
"AC004852.3",0,NA
"AC004852.5",0,NA
"AC004852.6",0,NA
"AC004853.1",0,NA
"AC004853.2",0,NA
"AC004854.1",3,NA
"AC004858.1",0,NA
"AC004864.1",0,NA
"AC004865.1",0,NA
"AC004866.1",0,NA
"AC004866.2",0,NA
"AC004870.1",0,NA
"AC004884.1",0,NA
"AC004890.1",2.34165,NA
"AC004890.2",271.7668,NA
"AC004890.3",1,NA
"AC004893.1",13,NA
"AC004893.2",0,NA
"AC004898.1",1.07614,NA
"AC004899.1",0,NA
"AC004910.1",17.1265,NA
"AC004911.1",0,NA
"AC004922.1",20.41329,NA
"AC004923.1",165.354,NA
"AC004923.2",0,NA
"AC004923.3",0,NA
"AC004938.1",1,NA
