"Gene.name","SUM(est_counts)"
"BPI",21
"BPIFA1",616.0003
"BPIFA2",3
"BPIFA3",0
"BPIFA4P",0
"BPIFB1",9110.3614
"BPIFB2",498
"BPIFB3",0
"BPIFB4",0
"BPIFB5P",0
"BPIFB6",0
"BPIFB9P",1
"BPIFC",0
"BPNT1",1183.22611044988
"BPTF",2591.78737929
"BPTFP1",135.074
"BPY2",0
"BPY2B",0
"BPY2C",0
"BPY2DP",0
"BRAF",1216.97489
"BRAFP1",0
"BRAP",1898.8829
"BRAT1",2978.25762
"BRCA1",437.754004015
"BRCA2",833.54335
"BRCC3",1355.26792
"BRCC3P1",3.12018
"BRD1",1872.00363
"BRD2",11908.0988896512
"BRD3",3113.23376
"BRD3OS",1836.35377
"BRD4",3099.01599
"BRD7",3568.7275
"BRD7P1",0
"BRD7P2",1.26294
"BRD7P4",0
"BRD7P5",0
"BRD7P6",0
"BRD8",3037.37632254
"BRD9",1462.40889
"BRD9P1",0
"BRD9P2",0.362719
"BRDT",3.1585
"BRDTP1",0
"BRF1",2858.187352
"BRF2",657.6059
"BRI3",3426.70286
"BRI3BP",1081.328
"BRI3BPP1",3.70021
"BRI3P1",3.00493
"BRICD5",183.25772
"BRINP1",71
"BRINP2",2
"BRINP3",128.9996
"BRIP1",197.10436
"BRIX1",1623.88394
"BRIX1P1",0
"BRK1",8241
"BRK1P1",0
"BRK1P2",0
"BRMS1",8469.99683
"BRMS1L",342.00009
"BROX",3548.96222455
"BRPF1",1445.00137
"BRPF3",3163.99881
"BRS3",3
"BRSK1",81.01018
"BRSK2",223.00003
"BRWD1",4333.96793
"BRWD1P1",0
"BRWD1P2",6
"BRWD1P3",2
"BRWD3",988.2
"BSCL2",7409.53601
"BSDC1",2791.18767
"BSG",25646.65104
"BSN",37.000001
"BSND",28.5985
"BSNDP1",0
"BSNDP2",4
"BSNDP3",0
"BSNDP4",0
"BSPH1",0
"BSPRY",995
"BST1",346.2365
"BST2",14862.03785
"BSX",0
"BTAF1",2008.0041
"BTBD1",2043.19672
"BTBD10",1201.0004741
"BTBD10P1",0
"BTBD10P2",8
"BTBD11",150.0419
"BTBD16",10
"BTBD17",2
"BTBD18",0
"BTBD19",229.01276
"BTBD2",2703.22805
"BTBD3",1676.99682001326
"BTBD6",3425.90111783
"BTBD6P1",3.07184
"BTBD7",2540.858264
"BTBD7P1",7.25984
"BTBD7P2",0
"BTBD8",77
"BTBD9",1137.9073
"BTC",18
"BTD",1297.46438
"BTF3",19930.96886
"BTF3L4",2571.11692
"BTF3L4P1",0
"BTF3L4P2",329.936
"BTF3L4P3",2.03236
"BTF3L4P4",0
"BTF3P1",0
"BTF3P10",1.01324
"BTF3P11",0
"BTF3P12",1.00125
"BTF3P13",0
"BTF3P14",0
"BTF3P15",0
"BTF3P2",0
"BTF3P4",1.01237
"BTF3P5",0
"BTF3P6",1.00034
"BTF3P7",0
"BTF3P8",3.0167
"BTF3P9",0
"BTG1",7212.9988
"BTG1P1",5
"BTG2",3054.00061
"BTG3",370.024138
"BTG3P1",0
"BTG4",40
"BTG4P1",0
"BTK",819.9999336862
"BTLA",82.000022
"BTN1A1",10
"BTN2A1",1226.7168
"BTN2A2",559.020824281
"BTN2A3P",174.31161
"BTN3A1",1622.29912
"BTN3A2",5974.89074
"BTN3A3",1971.01623
"BTNL10",3
"BTNL2",0
"BTNL3",0
"BTNL8",15
"BTNL9",202.38141
"BTRC",1725.9988
"BUB1",1739.04684
"BUB1B",583.01137
"BUB1B-PAK6",0
"BUB1P1",0
"BUB3",8298.66116
"BUB3P1",0
"BUD13",966
"BUD13P1",4
"BUD23",6148.37631
"BUD31",4855.8949
"BUD31P1",0
"BUD31P2",2
"BVES",174.045
"BX001005.1",0
"BX004987.1",612.03
"BX005040.2",0
"BX005040.4",2.91863
"BX005091.1",0
"BX005091.2",0
"BX005195.1",9
"BX005214.3",4.08882
"BX005266.1",0
"BX005266.3",0
"BX005428.1",0
"BX005428.2",0
"BX005432.1",0
"BX072566.1",18.99825
"BX088651.1",3.84285
"BX088651.3",1
"BX088702.1",0
"BX119321.1",0
"BX119904.1",0
"BX119904.3",0
"BX119904.4",0
"BX119917.1",0
"BX119927.1",2
"BX120007.1",0
"BX120007.2",0
"BX247949.1",0
"BX248084.1",0
"BX248093.1",0
"BX248123.1",0
"BX248310.1",0.833333
"BX248310.2",0
"BX248409.1",3.06793
"BX248413.1",0
"BX248415.1",0
"BX248516.1",0
"BX255925.2",0
"BX255925.3",1299
"BX276092.1",0
"BX276092.2",4.90882
"BX276092.3",0
"BX276092.4",0
"BX276092.5",1.09118
"BX276092.6",0
"BX276092.7",18.67416
"BX276092.8",0
"BX276092.9",28
"BX284613.1",0
"BX284632.1",13
"BX284632.2",0
"BX284668.3",0
"BX284668.4",40.1226
"BX284699.1",0
"BX293995.1",0
"BX294158.1",0
"BX295541.1",0
"BX322534.1",2.15869
"BX322635.1",0
"BX322639.1",171.98812
"BX322650.1",12.3662
"BX322784.1",0
"BX323014.1",0
"BX323845.1",0
"BX323845.2",0
"BX323845.3",0
"BX470111.1",385.833
"BX510359.1",0
"BX510359.2",0
"BX510359.3",0
"BX510359.4",0
"BX510359.5",0
"BX510359.6",0
"BX510359.7",0
"BX510359.8",0
"BX547991.1",1.00944
"BX547991.2",0
"BX571673.1",0
"BX571818.1",42.52931
"BX649210.1",0
"BX649210.2",0
"BX664608.1",0
"BX664615.1",24.6774
"BX664615.2",11.1906
"BX664718.2",42.88034
"BX664725.1",0
"BX664727.1",0
"BX664727.2",0
"BX679664.1",2.02652
"BX679664.2",0
"BX679664.3",5.53053
"BX682237.1",0
"BX842559.1",1
"BX842559.2",0
"BX842568.1",2
"BX842568.2",0
"BX842568.3",0
"BX842568.4",0
"BX890604.1",0
"BX908738.2",0
"BX908738.3",0
"BX927132.1",0
"BX927139.2",4.87538
"BX927141.1",0
"BX927141.2",0
"BX927178.1",0
"BX927182.1",0
"BX927214.1",0
"BX927229.1",2.66924
"BX927235.1",0
"BX927235.2",0
"BX927250.1",1.63906
"BYSL",816.99961
"BZW1",16711.82216
"BZW1P1",0
"BZW1P2",0
"BZW2",3243.03915
"C10orf105",26.9320000730745
"C10orf113",2.000001
"C10orf120",0
"C10orf142",6
"C10orf143",116.58439
"C10orf53",15.60354
"C10orf55",69.41473
"C10orf62",2
"C10orf67",9.85411
"C10orf71",0
"C10orf82",158.59995
"C10orf88",514.96866
"C10orf90",7
"C10orf95",858
"C10orf99",0
"C11orf1",578.98506
"C11orf16",654.99954
"C11orf21",126.99975
"C11orf24",2493.21183
"C11orf42",3
"C11orf45",63.99999
"C11orf49",1898.03975
"C11orf52",1247.37848
"C11orf53",24
"C11orf54",935.08367
"C11orf58",6472.4296
"C11orf65",19.000000448889
"C11orf68",1668
"C11orf71",650.635
"C11orf74",1404.99994
"C11orf80",5161.76646
"C11orf86",4
"C11orf87",2
"C11orf88",958.7874
"C11orf91",2.15794
"C11orf94",1
"C11orf95",1338
"C11orf96",747.00035
"C11orf97",6
"C11orf98",2878.19133
"C11orf98P1",0
"C12orf10",2894.9971
"C12orf29",827.15038
"C12orf4",982.4354
"C12orf40",18.77168
"C12orf42",85.99992
"C12orf43",963.2656
"C12orf45",1825.2226
"C12orf49",1706.351
"C12orf50",310.55837
"C12orf54",11.00019
"C12orf56",323.30071
"C12orf57",4922.7746
"C12orf60",217.4673
"C12orf65",1629.36356
"C12orf66",476.84391
"C12orf71",2
"C12orf73",363.0960448716
"C12orf74",151.33045
"C12orf75",2022.99961
"C12orf76",769.2997
"C12orf81",5
"C13orf42",20.5773
"C13orf46",5
"C14orf119",3992.065
"C14orf132",466.891005
"C14orf177",0
"C14orf178",16.10900208558
"C14orf180",10
"C14orf28",330.9997
"C14orf39",138.03542
"C14orf93",764.01031
"C15orf39",1653.99608
"C15orf40",1377.9256
"C15orf41",146.843440329
"C15orf48",984.99954
"C15orf61",297.0093
"C15orf62",45.8779
"C15orf65",282
"C16orf46",63.4817
"C16orf54",350.675
"C16orf58",6075.60082
"C16orf70",1100.06556
"C16orf71",543.131
"C16orf72",4315.47
"C16orf74",258.25972
"C16orf78",1
"C16orf82",0
"C16orf86",40.3712896486
"C16orf87",420.0771
"C16orf89",640.74763
"C16orf90",0
"C16orf91",731.9998
"C16orf92",9.17796
"C16orf95",45.60659
"C16orf96",7
"C17orf100",97
"C17orf107",161.215
"C17orf113",143.033
"C17orf49",4126.1564
"C17orf50",11
"C17orf53",310.0002
"C17orf58",4284.92
"C17orf64",1
"C17orf67",39
"C17orf75",559.08944
"C17orf78",4
"C17orf80",1990.92564
"C17orf97",1164.999326
"C17orf98",6
"C17orf99",22.8155
"C18orf21",697.99966
"C18orf25",992.9792
"C18orf32",2582.3437
"C18orf54",173.0005
"C18orf63",0
"C19orf12",891.84925
"C19orf18",192
"C19orf25",1250.0761
"C19orf33",6808.5311
"C19orf38",92
"C19orf44",260.34695
"C19orf47",1046.19449
"C19orf48",1842.38678
"C19orf53",4344.1116
"C19orf54",743.454883
"C19orf57",95
"C19orf67",3
"C19orf71",35.5111
"C19orf73",60
"C19orf81",7
"C19orf84",16
"C19orf85",0
"C1D",585.7299
"C1DP1",0
"C1DP2",0
"C1DP3",0
"C1DP4",0
"C1DP5",1
"C1GALT1",493.62002
"C1GALT1C1",1186.9992
"C1GALT1C1L",15
"C1GALT1P1",10
"C1GALT1P2",0
"C1GALT1P3",0
"C1QA",6401.0025
"C1QB",8632.00425
"C1QBP",4215.53539
"C1QBPP1",0
"C1QBPP2",34.6702
"C1QC",7292.995
"C1QL1",53
"C1QL1P1",0
"C1QL2",3
"C1QL3",26
"C1QL4",14
"C1QTNF1",2347.636366615
"C1QTNF12",63.00004
"C1QTNF2",78.2744695
"C1QTNF3",1889.7613
"C1QTNF3-AMACR",180.083
"C1QTNF4",21.00000935398
"C1QTNF5",2111.541
"C1QTNF6",3568.24816
"C1QTNF7",73
"C1QTNF8",57
"C1QTNF9",13.6271000198627
"C1QTNF9B",1305.3717
"C1R",17829.34434
"C1RL",1360.12165
"C1S",23317.64117
"C1orf100",7
"C1orf105",6
"C1orf109",428.07021
"C1orf112",713.693442675
"C1orf115",2224
"C1orf116",979
"C1orf122",750.08354
"C1orf127",47.230529
"C1orf131",783.05464
"C1orf141",12.60945
"C1orf146",3.0067
"C1orf158",350.52757
"C1orf159",680.0005
"C1orf162",862.9022
"C1orf167",34.26384
"C1orf174",753.2072
"C1orf185",0
"C1orf189",1288
"C1orf194",4159.9468
"C1orf198",3181.00343
"C1orf21",7238.99816
"C1orf210",237.581
"C1orf216",499.3368
"C1orf226",912.484
"C1orf232",0
"C1orf35",1660.28305
"C1orf43",9698.221
"C1orf50",183.6126
"C1orf52",886.6213
"C1orf53",167.9998
"C1orf54",826.9675
"C1orf56",769.50673
"C1orf61",56.42063
"C1orf68",0
"C1orf74",419.345
"C1orf87",89.01102
"C1orf94",1
"C2",6729.5598399
"C20orf141",1
"C20orf144",24.8431
"C20orf173",0
"C20orf194",774.9601
"C20orf202",21
"C20orf203",1.36948
"C20orf204",131
"C20orf27",1661.0004
"C20orf85",13218
"C20orf96",1754.9957
"C21orf58",1040.09258
"C21orf59-TCP10L",1196.77
"C21orf62",31.1866
"C21orf91",710.19495
"C22orf15",373.9997
"C22orf23",172.9998
"C22orf31",8
"C22orf39",823.698
"C22orf42",9
"C22orf46",656.1766
"C2CD2",2230.84496
"C2CD2L",2064.57475
"C2CD3",3430.38079
"C2CD4A",28.4549
"C2CD4B",85.8753
"C2CD4C",20
"C2CD4D",83
"C2CD5",1993.00036
"C2CD6",12
"C2orf15",219.78906
"C2orf16",121
"C2orf27A",1852.7306
"C2orf27AP1",2.05084
"C2orf27AP2",0
"C2orf27AP3",1.48957
"C2orf27B",318.286
"C2orf42",507.9997
"C2orf49",950.256
"C2orf50",991.276
"C2orf66",2
"C2orf68",2513.03627
"C2orf69",1206
"C2orf69P1",0
"C2orf69P2",3
"C2orf69P3",0
"C2orf69P4",0
"C2orf72",50
"C2orf73",15
"C2orf74",488.1251
"C2orf76",541.999568
"C2orf78",0
"C2orf80",9
"C2orf81",1232.05791
"C2orf83",17.1825
"C2orf88",92.07565
"C2orf91",18.5005
"C2orf92",142.496655421
"C3",26553.99639
"C3AR1",1073.9993
"C3P1",0
"C3orf14",1336.0004
"C3orf18",226.00011
"C3orf20",0
"C3orf22",0
"C3orf33",156.635662
"C3orf38",1060.0038
"C3orf49",7.19626
"C3orf52",1048.0016
"C3orf56",0
"C3orf62",618.24664
"C3orf67",1300.10724
"C3orf70",209.617
"C3orf80",158.417
"C3orf84",10
"C3orf85",0
"C3orf86",5
"C4A",26577.2495118027
"C4B",34545.1957206792
"C4BPA",12.079
"C4BPAP1",0
"C4BPAP2",2
"C4BPB",45.0487
"C4B_2",36.11481121833
"C4orf17",0
"C4orf19",175.1447
"C4orf3",3343.869
"C4orf33",317.9997
"C4orf36",14.28225
"C4orf45",0
"C4orf46",410.00020168
"C4orf47",147.9999
"C4orf48",269.9995
"C4orf50",14.08418
"C4orf51",1
"C4orf54",8
"C5",242.27379
"C5AR1",1272.9206
"C5AR2",227.566
"C5orf15",3704.99593
"C5orf22",1027.6
"C5orf24",1647.34756
"C5orf30",1651.0044
"C5orf34",231.99973
"C5orf38",89.000054
"C5orf46",247.00004
"C5orf47",0
"C5orf49",3170
"C5orf51",1550
"C5orf52",0
"C5orf58",187.05736
"C5orf63",343.576341
"C5orf67",5
"C6",47
"C6orf118",391.9997
"C6orf120",943.255
"C6orf132",2556.259
"C6orf136",1056.22701
"C6orf141",223.94906
"C6orf15",40.00002
"C6orf163",47.8705
"C6orf201",8.73178
"C6orf223",189.9794
"C6orf226",323
"C6orf47",2421.004
"C6orf52",48.00006
"C6orf58",3
"C6orf62",9762.1216
"C6orf89",4427.8147
"C7",107.537165
"C7orf25",167.90627
"C7orf26",1318.9969
"C7orf31",171.00014
"C7orf33",2
"C7orf50",4424.13492
"C7orf57",471.99937
"C7orf61",15.8554
"C7orf77",0
"C8A",0
"C8B",1
"C8G",20
"C8orf33",2455.5829889643
"C8orf34",42.89746
"C8orf37",265.374
"C8orf48",48
"C8orf49",6.17484
"C8orf58",540.68258
"C8orf74",1
"C8orf76",1209.9054
"C8orf82",1632.93569
"C8orf86",9.78854
"C8orf88",64.5045
"C8orf89",3
"C9",2
"C9orf116",1696.99702
"C9orf129",0
"C9orf131",8.06870189926
"C9orf135",194.00005
"C9orf152",1099.07
"C9orf153",15.37895
"C9orf16",2019.0145
"C9orf24",177.99973
"C9orf40",97
"C9orf43",44
"C9orf50",104.2209
"C9orf57",2
"C9orf64",559.35559
"C9orf72",900.99979
"C9orf78",4780.93
"C9orf85",391.99035
"C9orf92",4.00000338875
"CA1",1
"CA10",0
"CA11",280.9999
"CA12",6396.3786
"CA13",636.53304
"CA14",45.87667
"CA15P1",0
"CA15P2",0
"CA2",413.00033
"CA3",110.99998
"CA4",6
"CA5A",7
"CA5AP1",0
"CA5B",1058.17262
"CA5BP1",460.93993
"CA6",21.9241
"CA7",52
"CA8",283.0003
"CA9",83.8645
"CAAP1",1499.00126
"CAB39",3256.54394
"CAB39L",1646
"CAB39P1",0
"CABCOCO1",110
"CABIN1",2716.0050880105
"CABLES1",620
"CABLES2",537
"CABP1",36.08104
"CABP2",0
"CABP4",520.57159
"CABP5",0
"CABP7",19.7988
"CABS1",0
"CABYR",493.43126
"CABYRP1",0
"CACFD1",2296.0317241154
"CACHD1",552.0001911
"CACNA1A",277.979374
"CACNA1B",6
"CACNA1C",689.001057482646
"CACNA1D",307.8203
"CACNA1E",49.999952715024
"CACNA1F",143.15803
"CACNA1G",10.105134
"CACNA1H",933.989747094
"CACNA1I",38
"CACNA1S",5.00000126
"CACNA2D1",333.99981
"CACNA2D2",575.261500584181
"CACNA2D3",47.99994
"CACNA2D4",175.999842
"CACNB1",703.9998033
"CACNB2",224.7206636378
"CACNB3",5116.40921
"CACNB4",173.173348
"CACNG1",21
"CACNG2",2
"CACNG3",0
"CACNG4",3504
"CACNG5",0
"CACNG6",78.99999
"CACNG7",0
"CACNG8",107.896
"CACTIN",857.154593
"CACUL1",4882.78336
"CACYBP",5667.50272
"CACYBPP1",2
"CACYBPP2",8.5547
"CACYBPP3",1
"CAD",1292.81595
"CADM1",3959.08901
"CADM2",14
"CADM3",98
"CADM4",1819.995
"CADPS",14.797256
"CADPS2",1061.0009181733
"CAGE1",7.07763
"CALB1",68.12
"CALB2",192
"CALCA",0
"CALCB",1
"CALCOCO1",2992.26799
"CALCOCO2",6766.98372
"CALCP",0
"CALCR",19
"CALCRL",2191.07912
"CALD1",18670.01929
"CALHM1",26.0154
"CALHM2",1749.00117
"CALHM3",6
"CALHM4",1
"CALHM5",641.812
"CALHM6",619
"CALM1",35135.00931523
"CALM1P1",0
"CALM1P2",0
"CALM2",36897.9774
"CALM2P1",0
"CALM2P2",18.7119
"CALM2P3",1.01437
"CALM2P4",0
"CALM3",10369.99778
"CALML3",1257
"CALML4",916.300059
"CALML5",30258
"CALML6",14
"CALN1",12.1535
"CALR",47361.54369
"CALR3",13
"CALR4P",30.02324
"CALU",6380.454
"CALY",112
"CAMK1",545.69148
"CAMK1D",978.5046
"CAMK1G",14
"CAMK2A",72.48602
"CAMK2B",9498.99711
"CAMK2D",1854.99914
"CAMK2G",2424.79523
"CAMK2N1",4413.8051
"CAMK2N2",18.3337
"CAMK4",350.01678
"CAMKK1",1082.4518
"CAMKK2",3303.98683
"CAMKMT",426.01329
"CAMKV",4
"CAMLG",2242.81
"CAMP",501
"CAMSAP1",1772.00382
"CAMSAP2",1774.003
"CAMSAP3",961.99962
"CAMTA1",933.00039
"CAMTA2",2861.00004022375
"CAND1",4278.76539
"CAND2",131.42047
"CANT1",2648.0019
"CANX",29286.7841526855
"CAP1",14634.13908
"CAP1P2",2.01461
"CAP2",849.98529
"CAP2P1",2.0151
"CAPG",13566.96316
"CAPN1",9704.1814
"CAPN10",606.67943466
"CAPN11",63.00003
"CAPN12",161.93898
"CAPN13",978.17426
"CAPN14",5.000001
"CAPN15",2258.07236
"CAPN2",12023.61824
"CAPN3",127.558609912211
"CAPN5",1855.0484
"CAPN6",34
"CAPN7",968.35997
"CAPN8",1770.47392
"CAPN9",328.9996
"CAPNS1",20637.00137
"CAPNS1P1",0
"CAPNS2",0
"CAPRIN1",12573.99834
"CAPRIN2",710.11045
"CAPS",7402.741
"CAPS2",358.31986
"CAPSL",2795.99667
"CAPZA1",10521.85997
"CAPZA2",3180.28302
"CAPZA3",0
"CAPZB",17069.00142
"CARD10",578.00081
"CARD11",571
"CARD14",1195.10973
"CARD16",900.24619
"CARD17",2.999998
"CARD18",1.07753
"CARD19",981.884488
"CARD6",551.6415
"CARD8",2014.18028106895
"CARD9",594.90947
"CARF",362.2926711
"CARHSP1",6017.3978451
"CARM1",1710.2687
"CARM1P1",6.10825
"CARMIL1",1027.49907
"CARMIL2",203.00006
"CARMIL3",54.00008
"CARNMT1",891
"CARNS1",117.99999353
"CARS",2823.33189
"CARS2",2289.27332
"CARSP1",0
"CARSP2",1
"CARTPT",0
"CASC1",1093.99963
"CASC3",7539.6855
"CASC4",4868.92392
"CASC4P1",2.0026
"CASD1",851
"CASK",4638.237138744
"CASKIN1",77.0429
"CASKIN2",1638.70069
"CASKP1",0
"CASP1",1143.75262
"CASP10",1154.15033
"CASP12",6.00000139463
"CASP14",25.53118
"CASP16P",249.55315
"CASP17P",117.07533
"CASP1P1",0
"CASP1P2",1
"CASP2",1912.9638
"CASP3",1922.0036
"CASP3P1",0
"CASP4",3069.13092
"CASP5",26.067418
"CASP6",857.58031
"CASP7",2237.23542
"CASP8",2239.41954
"CASP8AP2",908.00108
"CASP9",652.44519
"CASQ1",152.71729
"CASQ2",215.12008
"CASR",97.8033
"CASS4",109.2686
"CAST",8986.1800455
"CASTOR1",384.75239
"CASTOR2",684.18767
"CASTOR3",564.4842
"CASZ1",1430.02664
"CAT",1669.99637
"CATIP",1595.22548
"CATSPER1",52
"CATSPER2",374.6197
"CATSPER2P1",93.65142
"CATSPER3",84.66435
"CATSPER4",0
"CATSPERB",1458.855688
"CATSPERD",43
"CATSPERE",13.99999817
"CATSPERG",914.36261
"CATSPERZ",16.00001
"CAV1",4821.0039166958
"CAV2",1465.05653
"CAV3",2
"CAVIN1",17308.8
"CAVIN2",231
"CAVIN3",1868.0036
"CAVIN4",33.1068
"CBARP",30.17302
"CBFA2T2",2182.9761
"CBFA2T3",219.9995
"CBFB",2666.08366
"CBL",1191.1037
"CBLB",1328.0104693178
"CBLC",1316.00266
"CBLIF",0
"CBLL1",1231.00483
"CBLL2",0
"CBLN1",6.999996
"CBLN2",13
"CBLN3",195.24245
"CBLN4",59
"CBR1",1492.99855
"CBR3",1781
"CBR4",675.24882
"CBS",99.896164961
"CBSL",0.103796
"CBWD1",1707.66626
"CBWD2",1052.15852
"CBWD3",679.097640208873
"CBWD4P",5.36138
"CBWD5",3169.11591
"CBWD6",474.394984
"CBX1",3229.16342
"CBX1P1",1.00734
"CBX1P2",0
"CBX1P3",3
"CBX1P4",4.02639
"CBX1P5",0
"CBX2",520.99972
"CBX3",8285.04175
"CBX3P1",0
"CBX3P3",0
"CBX3P4",0
"CBX3P5",0
"CBX3P6",0
"CBX3P7",4
"CBX3P8",0
"CBX3P9",0
"CBX4",2301.996
"CBX5",4460.1201
"CBX5P1",4
"CBX6",1335.9578
"CBX7",784.09685
"CBX8",798.00032
"CBY1",2980.0428
"CBY3",6.46176
"CC2D1A",1581.9442
"CC2D1B",1642.5906
"CC2D2A",1404.3830505828
"CC2D2B",26
"CCAR1",5831.63757
"CCAR2",4165.1804
"CCBE1",139.92522
"CCDC102A",530
"CCDC102B",266.07705618
"CCDC103",159.275323
"CCDC105",0
"CCDC106",579.00045
"CCDC107",1295.2888
"CCDC110",41.00003635088
"CCDC112",862.9992
"CCDC113",1454.0484
"CCDC114",1895.6322
"CCDC115",2891.0060504
"CCDC116",22.00002
"CCDC117",1611.11162
"CCDC11P1",0
"CCDC12",2714.17726
"CCDC120",1006.78833
"CCDC121",397.86778
"CCDC122",336.3372
"CCDC124",1918.8108
"CCDC125",1813.4767956899
"CCDC126",265.99959
"CCDC127",1045.652
"CCDC13",331.3057
"CCDC130",795.3121
"CCDC134",146
"CCDC136",56.99999
"CCDC137",894.45871
"CCDC138",654.00073
"CCDC14",4681.00342
"CCDC140",0
"CCDC141",34.12952
"CCDC142",581.86958
"CCDC144A",145.393638
"CCDC144B",104.894582187
"CCDC144CP",14.1443
"CCDC144NL",21
"CCDC146",1162.9994
"CCDC148",87.31681
"CCDC149",1042.49581
"CCDC15",187.07723
"CCDC150",181.963103
"CCDC151",271.4355
"CCDC152",98.562
"CCDC153",398.84473
"CCDC154",1106.00008
"CCDC155",24.0031200335599
"CCDC157",391.05583
"CCDC158",50.805
"CCDC159",1594.5019
"CCDC160",742.435
"CCDC162P",1319.9396
"CCDC163",78.18311
"CCDC166",0
"CCDC167",667
"CCDC168",9
"CCDC169",45.6817
"CCDC169-SOHLH2",0
"CCDC17",204.000430045134
"CCDC170",2300.68457
"CCDC171",1000.72029
"CCDC172",13
"CCDC173",1214.9961
"CCDC174",1375.00212
"CCDC175",3.137302
"CCDC177",2
"CCDC178",19
"CCDC179",0
"CCDC18",762.999570104116
"CCDC180",1009.97287
"CCDC181",39.99998
"CCDC182",0
"CCDC183",213.3693
"CCDC184",78
"CCDC185",2
"CCDC186",1137.29156
"CCDC187",490.99987
"CCDC188",284.564
"CCDC189",1051.81065
"CCDC190",132.0000258
"CCDC191",1536.5684
"CCDC192",117.12314
"CCDC194",19.7998
"CCDC195",0
"CCDC196",0
"CCDC197",0
"CCDC198",6.285142
"CCDC200",79.52333
"CCDC201",7.76887
"CCDC22",1096.63
"CCDC24",917.35327105
"CCDC25",1631.99924
"CCDC27",13.6359
"CCDC28A",1333.996
"CCDC28B",300.72799
"CCDC3",1685
"CCDC30",823.87706
"CCDC32",1524.81728
"CCDC33",233.26644
"CCDC34",3095.8344
"CCDC34P1",0
"CCDC36",65.07803
"CCDC38",8.1267
"CCDC39",531.36599
"CCDC40",915.0133
"CCDC42",1
"CCDC43",1113.9696
"CCDC47",3705.68249
"CCDC50",3436.7827
"CCDC51",891.21747
"CCDC54",0
"CCDC57",1444.994286
"CCDC58",870.07769
"CCDC58P1",0
"CCDC58P2",0
"CCDC58P3",2.05805
"CCDC58P5",0
"CCDC59",1871.84817
"CCDC6",5150.99913
"CCDC60",780.96271
"CCDC61",1112.0001
"CCDC62",20.7173
"CCDC63",0
"CCDC65",1454.99580001065
"CCDC66",1333.96763247706
"CCDC68",134.17545
"CCDC69",1851.67814
"CCDC7",123.40119
"CCDC70",3
"CCDC71",1584
"CCDC71L",631
"CCDC73",28.3437
"CCDC74A",3966.75275
"CCDC74B",2158.22476
"CCDC74BP1",1.00584
"CCDC75P1",0
"CCDC77",427.35988
"CCDC78",5198.0047810792
"CCDC8",796.661
"CCDC80",9712.64659
"CCDC81",59.71116
"CCDC82",457.045261
"CCDC83",9.317095
"CCDC84",945.878
"CCDC85A",80
"CCDC85B",1039
"CCDC85C",1215.31755
"CCDC86",1288.136
"CCDC87",517
"CCDC88A",1325.93705193758
"CCDC88B",888.2816
"CCDC88C",7572.60632
"CCDC89",385
"CCDC9",1548.34411
"CCDC90B",1745.97598
"CCDC91",1118.56569
"CCDC92",2803.991526
"CCDC92B",0
"CCDC93",923.0004163
"CCDC96",1346
"CCDC97",3292.0025
"CCDC9B",1135.5617
"CCER1",0
"CCER2",26
"CCHCR1",1489.38328276289
"CCIN",30
"CCK",3
"CCKAR",2
"CCKBR",1
"CCL1",2
"CCL11",180
"CCL13",84
"CCL14",334.15208
"CCL15",11.62055
"CCL15-CCL14",76.3905
"CCL16",40.9066
"CCL17",451
"CCL18",131.99993209
"CCL19",1304.99732
"CCL2",1047.00409
"CCL20",25
"CCL21",301.00025
"CCL22",4791.08
"CCL23",4.0000068775
"CCL24",0
"CCL25",9.9999959012
"CCL26",23
"CCL27",19.99996
"CCL28",2723.28713
"CCL3",372.0006
"CCL3L1",0
"CCL3L3",0
"CCL4",607.31106
"CCL4L2",10.68908
"CCL5",8258.5100444404
"CCL7",4
"CCL8",221
"CCM2",2606.31882
"CCM2L",302.0001
"CCN1",10170.9781
"CCN2",11459.3
"CCN3",236
"CCN4",1567.99683
"CCN5",1788.35517
"CCN6",41.0029500326432
"CCNA1",834
"CCNA2",663.509
"CCNB1",3153.00212
"CCNB1IP1",1278.08942
"CCNB1IP1P1",0
"CCNB1IP1P2",0
"CCNB1IP1P3",0
"CCNB2",1114.9961
"CCNB2P1",1
"CCNB3",12.00001
"CCNB3P1",16.6919
"CCNC",2198.4120557
"CCND1",12441.27858
"CCND2",3041.25957
"CCND2P1",1
"CCND3",3707.51010001742
"CCND3P1",2
"CCND3P2",0
"CCNDBP1",1366.4302
"CCNE1",70
"CCNE2",332.12483
"CCNF",1401.753974762
"CCNG1",2472.99661
"CCNG1P1",0
"CCNG2",3101.6604
"CCNG2P1",0
"CCNH",1460.44567
"CCNHP1",0
"CCNI",9016.17817
"CCNI2",54.4102
"CCNJ",345
"CCNJL",233.0294
"CCNJP1",0
"CCNJP2",0
"CCNK",4253.27058
"CCNL1",3542.37104
"CCNL2",4062.47194
"CCNL2P1",1
"CCNO",12188
"CCNQ",1110.99025227
"CCNQP1",0
"CCNQP2",0
"CCNQP3",0
"CCNT1",1133
"CCNT2",2125.00435
"CCNT2P1",0
"CCNY",3330.43792
"CCNYL1",1168.0996
"CCNYL2",19
"CCNYL3",0
"CCP110",2545.73312
"CCPG1",3390.00261
"CCR1",752
"CCR10",49.16288
"CCR12P",46.6376
"CCR2",295.0004
"CCR3",10.000005
