"Gene.name","SUM(est_counts)"
"AC004706.3",13.0528
"AC004790.1",0
"AC004801.1",1.00227
"AC004801.2",19.00003
"AC004805.1",0
"AC004805.2",0
"AC004805.3",0
"AC004812.1",1
"AC004825.1",0
"AC004832.2",0
"AC004832.3",51.5583
"AC004835.2",0
"AC004837.1",0
"AC004839.3",193.5122
"AC004840.1",1
"AC004840.2",0
"AC004852.1",0
"AC004852.3",0
"AC004852.5",0
"AC004852.6",0
"AC004853.1",0
"AC004853.2",0
"AC004854.1",3
"AC004858.1",0
"AC004864.1",0
"AC004865.1",0
"AC004866.1",0
"AC004866.2",0
"AC004870.1",0
"AC004884.1",0
"AC004890.1",2.34165
"AC004890.2",271.7668
"AC004890.3",1
"AC004893.1",13
"AC004893.2",0
"AC004898.1",1.07614
"AC004899.1",0
"AC004910.1",17.1265
"AC004911.1",0
"AC004922.1",20.41329
"AC004923.1",165.354
"AC004923.2",0
"AC004923.3",0
"AC004938.1",1
"AC004941.2",0
"AC004945.1",0
"AC004951.2",79.8098
"AC004951.3",51.2491
"AC004965.1",0
"AC004967.1",48.649
"AC004975.1",0
"AC004980.1",59.0359
"AC004980.2",0.585969
"AC004980.3",5.54729
"AC004980.4",0
"AC004980.5",62.07561
"AC004980.6",0.585969
"AC004986.1",0
"AC004987.1",0
"AC004987.2",1.51428
"AC004987.3",0
"AC004987.4",0.00098064
"AC004997.1",56.80208
"AC005000.1",3.31063
"AC005000.2",0
"AC005002.1",0
"AC005002.2",0
"AC005005.1",0
"AC005005.2",0
"AC005008.1",0
"AC005011.1",0
"AC005014.1",1.00241
"AC005019.1",0
"AC005020.1",0
"AC005020.2",0
"AC005033.1",0
"AC005034.1",0
"AC005040.1",0
"AC005041.1",153.939
"AC005041.2",2
"AC005042.1",3
"AC005042.3",1
"AC005066.1",0
"AC005070.1",0
"AC005070.2",0
"AC005077.1",5.31552
"AC005077.2",0
"AC005077.3",0
"AC005077.4",203
"AC005084.1",0
"AC005086.3",8.14994
"AC005086.4",14.2138
"AC005086.5",4.2162
"AC005088.1",3
"AC005094.1",0
"AC005099.1",5.02589
"AC005102.1",0
"AC005104.2",5
"AC005105.1",0
"AC005154.1",21.6408
"AC005154.2",38.5359
"AC005154.5",103.29
"AC005156.1",0
"AC005165.2",0
"AC005176.1",14.7322
"AC005176.2",0
"AC005178.1",0
"AC005181.1",0
"AC005183.1",0
"AC005183.2",0
"AC005185.1",0
"AC005189.1",4
"AC005191.1",0
"AC005229.1",0
"AC005229.2",0
"AC005229.3",0
"AC005230.1",2
"AC005237.2",0
"AC005244.1",0
"AC005252.1",0
"AC005255.1",0
"AC005258.1",0
"AC005261.4",0
"AC005262.1",0
"AC005294.1",0
"AC005296.1",0
"AC005297.1",0
"AC005297.2",0
"AC005297.3",0
"AC005300.1",1
"AC005324.3",21.1761
"AC005324.4",0
"AC005324.6",0
"AC005326.1",0
"AC005336.1",2.01222
"AC005336.2",2.05949
"AC005341.1",0
"AC005345.1",0
"AC005351.1",0
"AC005357.1",0
"AC005357.2",0
