t1,t2
0.005142166,0.004650402
0.007112922,0.00678355
0.015563598,0.015485243
0.014232546,0.011035044
0.041322093,0.03464996
0.011137201,0.010610604
0.027647754,0.027940855
0.008933469,0.00664439
0.006856965,0.003639403
0.01414024,0.012933715
0.008001664,0.006453657
0.018452038,0.008526531
0.003746659,0.003561236
0.023705931,0.021221849
0.00910224,0.008443655
0.033176967,0.028317221
0.012047664,0.005262424
0.086547074,0.086602037
0.027956416,0.021125703
0.012486845,0.010163134
0.00721606,0.003479071
0.009657149,0.002712778
0.011900605,0.011624105
0.010435823,0.011682129
0.003785912,0.006094521
0.016758601,0.022061378
0.010042436,0.007346229
0.01010525,0.006997994
0.004375883,0.003450469
0.024057575,0.024956178
0.03264062,0.02873342
0.01948638,0.013907353
0.009349618,0.011537169
0.031941122,0.028116458
0.004142267,0.003067353
0.024733032,0.018288077
0.025533908,0.02888232
0.019969763,0.019338439
0.003834285,0.004158618
0.00649526,0.002684096
0.010750855,0.010753745
0.013658777,0.010366558
0.036654409,0.024170614
0.008969651,0.008373819
0.02554564,0.020133064
0.004462979,0.003260826
0.006573005,0.003578798
0.004607168,0.003238105
0.008176977,0.005326109
0.008464386,0.00736672
0.005890587,0.002730499
0.019982253,0.024295042
0.008928258,0.006184358
0.01805054,0.018722826
0.005228382,0.007178207
0.04837982,0.04433199
0.021045547,0.019140285
0.010049205,0.013736001
0.008197418,0.003047651
0.003387594,0.004250784
0.011896644,0.010898064
0.01169196,0.010471925
0.008340898,0.003317269
0.00461849,0.003267727
0.00735604,0.007241281
0.01011332,0.003069933
0.004226743,0.002902391
0.016427907,0.011371487
0.023226188,0.023416232
0.010662918,0.009742014
0.005796952,0.006654961
0.015516534,0.01675369
0.003779022,0.002862819
0.018127576,0.016726298
0.011903024,0.015119187
0.012686978,0.011156812
0.051138571,0.034099821
0.012191434,0.006053049
0.005259545,0.003217973
0.0180623,0.016873208
0.011353696,0.008874054
0.005117605,0.005354071
0.104604453,0.094338323
0.039992049,0.04245495
0.007275003,0.003454629
0.015835237,0.020122263
0.141493349,0.151069891
0.009707582,0.008451475
0.054894991,0.053519146
