sp1,sp2
0.737,0.069
0.294,0.211
0.945,0.946
0.666,0.669
0.735,0.773
0.931,0.93
0.739,0.753
0.505,0.477
0.902,0.899
0.776,0.721
0.842,0.704
0.652,0.647
0.596,0.533
0.756,0.777
0.518,0.506
0.69,0.702
0.914,0.924
0.89,0.904
0.809,0.794
0.838,0.851
0.851,0.852
0.796,0.823
0.841,0.834
0.453,0.439
0.818,0.806
0.807,0.8
0.763,0.764
0.967,0.973
0.76,0.745
0.918,0.908
0.827,0.858
0.908,0.906
0.921,0.928
0.784,0.813
0.814,0.819
0.752,0.835
0.798,0.77
0.9,0.919
0.902,0.892
0.566,0.553
0.664,0.667
0.96,0.961
0.85,0.889
0.954,0.954
0.941,0.944
0.767,0.781
0.931,0.93
0.733,0.764
0.763,0.777
0.941,0.928
0.818,0.825
0.874,0.892
0.737,0.775
0.746,0.747
0.81,0.837
0.849,0.89
0.887,0.896
0.945,0.954
0.918,0.91
0.839,0.841
0.857,0.871
0.872,0.875
0.806,0.826
0.864,0.831
0.866,0.843
0.952,0.951
0.818,0.815
0.841,0.814
0.964,0.977
0.828,0.88
0.914,0.927
0.85,0.88
0.929,0.932
0.937,0.936
0.794,0.819
0.883,0.877
0.938,0.953
0.801,0.811
0.916,0.926
0.903,0.906
0.852,0.854
0.877,0.887
0.8,0.799
0.573,0.654
0.487,0.494
0.838,0.813
0.765,0.762
0.643,0.427
0.77,0.507
0.553,0.597
0.426,0.433
0.738,0.762
0.897,0.872
0.608,0.609
0.534,0.54
0.867,0.875
0.628,0.548
0.337,0.199
0.578,0.557
0.799,0.722
0.575,0.558
0.494,0.432
0.512,0.543
0.767,0.79
0.745,0.723
0.64,0.697
0.447,0.643
0.65,0.67
0.576,0.561
0.547,0.584
0.788,0.795
0.759,0.755
0.865,0.855
0.679,0.679
0.522,0.523
0.889,0.869
0.834,0.857
0.688,0.709
0.83,0.828
0.624,0.592
0.74,0.814
0.829,0.846
0.922,0.882
0.613,0.586
0.586,0.599
0.86,0.877
0.655,0.658
0.521,0.737
0.557,0.601
0.917,0.935
0.676,0.689
0.68,0.576
0.596,0.572
0.801,0.799
0.715,0.776
