t1,t2
2.1,10.55
0.57,3.72
0.46,2.61
0.38,2.34
0.36,1.47
0.32,1.68
1.58,8.93
2.02,12.76
0.3,1.23
0.32,1.69
0.65,3.51
0.29,3.23
0.45,2.02
0.53,2.38
0.57,3.1
0.63,3.84
0.43,2.2
0.93,3.94
1.23,6.01
0.83,4.9
0.67,4.16
0.66,2.82
1.34,9.68
0.51,2.12
0.39,1.83
0.88,4.85
1.17,6.64
0.99,5.44
0.28,1.7
0.89,4.59
0.57,4.12
1.01,5.33
0.33,1.86
1.15,4.68
0.51,2.16
0.27,1.08
2.15,9.25
0.36,2.09
1.38,7.92
0.53,2.89
0.51,3
1.65,10.49
0.33,1.72
0.53,2.78
1.27,8.03
3.96,17.54
2.81,11.63
1.64,9.07
2.16,12.1
1.86,7.64
0.34,1.63
1.13,6.14
0.42,2.81
1.97,8.88
0.43,1.99
0.56,2.92
1.79,8.22
1.52,9.72
0.34,1.46
0.72,4.9
1.13,6.44
0.41,3.04
0.48,3.21
0.49,3.46
0.45,1.69
0.61,2.6
1.35,5.79
0.25,1.37
0.39,2.32
0.58,2.71
0.49,3.25
0.65,3.5
2.76,12.9
1.9,10.78
2.11,8.51
2.11,11.27
1.58,7.81
1.01,7.62
0.35,1.75
0.49,2.89
0.72,2.75
0.31,1.54
0.89,6.18
1.87,7.85
1.61,8.38
0.89,4.32
2.44,12.36
0.3,1.72
0.28,1.11
0.52,2.58
0.57,3.92
0.25,1.42
2.43,11.47
3.28,15.13
2.04,9.11
4.52,18.56
0.76,3.85
1.16,8.88
0.35,1.71
0.59,3.18
0.59,2.99
0.38,1.96
0.44,2.02
1.24,6.43
1.21,6.25
2.16,11.27
0.4,2.36
0.29,1.58
2.53,16.05
4.02,20.2
0.47,2.18
0.52,2.54
1.07,4.46
0.81,3.87
0.51,2.41
0.57,3.33
0.73,4.32
0.2,0.8
0.020167746,0.09056037
0.028226084,0.052019032
0.014273718,0.059029057
0.007523461,0.006949181
0.005232592,0.00750692
0.005284006,0.010089048
0.029780932,0.04867927
0.004855646,0.012663137
0.005322748,0.009447944
0.023179176,0.073487649
0.016514294,0.0319176
0.009958839,0.035778488
0.018302138,0.054414357
0.007769408,0.011480905
0.102861753,0.435349833
0.004430526,0.007128253
0.015038182,0.035086389
0.006829773,0.017121756
0.022339697,0.082852867
0.006480249,0.017894389
0.051009362,0.171728371
0.010284392,0.036689861
0.014565669,0.010054017
0.005750358,0.010892244
0.006589517,0.010927637
0.015763332,0.053223116
0.030131766,0.147857817
0.05633031,0.136758149
0.041696567,0.106239896
0.200090146,0.74571693
0.224428581,0.719420949
0.304301891,0.834877722
0.09879166,0.373208369
0.055096625,0.161719876
0.060117312,0.185175531
0.438356963,1.521711952
0.050157462,0.177411532
0.355450773,1.28193904
0.022220228,0.081197931
0.079484013,0.28398134
0.148761061,0.368850285
0.129394609,0.441693958
0.040495004,0.104819916
0.036659258,0.12552182
0.240286618,0.717159177
0.085162797,0.314837066
0.069273037,0.260935174
0.029447039,0.080487082
0.316539918,1.109563031
0.115307333,0.335516897
0.029548325,0.077209715
0.106377376,0.383034686
0.241594968,0.598672053
0.219738745,0.872470816
0.126998753,0.444990173
0.099729016,0.346986859
0.013403738,0.032549413
0.021344528,0.055563216
0.056092814,0.162719584
0.025584611,0.062613914
0.01805853,0.054384624
0.094720599,0.31782475
0.255790071,0.864949313
0.060848324,0.181479022
0.22688957,0.736125375
0.016731339,0.059756036
0.306214951,0.72162784
0.305338561,0.854976331
0.427749826,1.432754951
0.009750385,0.009553291
0.00707246,0.007640658
0.203478678,0.519870604
0.128748724,0.419010082
0.071764938,0.240470835
0.054709869,0.193523875
0.06065517,0.198556783
0.020000675,0.046794959
0.026217645,0.067222873
0.138212389,0.436135307
0.008824841,0.019113574
0.020448576,0.07136767
0.022955749,0.071346708
0.054259608,0.153931714
0.018520632,0.013964546
0.012056875,0.030467128
0.164101361,0.609892053
0.075155924,0.248386952
0.038642755,0.142543186
0.024515567,0.046692262
0.116744323,0.362097722
0.093665475,0.271708086
0.028646133,0.058400411
0.007754637,0.01746677
0.114499307,0.272578515
0.043457499,0.15141692
0.035553872,0.115011511
0.065196434,0.157901448
0.007706703,0.015222774
0.01660117,0.0381416
0.053263678,0.151180822
0.024667728,0.05823227
0.0147348,0.048064737
0.06571988,0.198300565
0.022210338,0.07137016
0.030515423,0.050056484
0.106933653,0.352440203
0.015588319,0.040516084
0.16365695,0.577103891
0.137846324,0.41468723
0.064086547,0.168605789
0.348843982,1.372875114
0.155264199,0.410855034
0.375880973,1.19773923
0.174045569,0.45544754
0.367659784,1.479068207
0.044170298,0.146394891
0.019291635,0.047154513
0.160223022,0.51674107
0.032273754,0.074228696
