ram1,ram2
4336,1848
4136,1836
4276,1916
4280,1848
4160,1852
4152,1864
4288,1828
4188,1840
4148,1860
4180,1768
4244,1840
4148,1924
4224,1928
4300,1856
4344,1928
4188,1832
4332,1956
4264,1800
4336,1864
4308,1820
4192,1904
4280,1908
4316,1892
4252,1888
4220,1824
4148,1912
4388,1836
4316,1812
4236,1888
4272,1908
4264,1788
4344,1844
4132,1828
4316,1756
4148,1776
4144,1972
4260,1848
4284,1840
4332,1880
4340,1904
4100,1824
4112,1804
4216,1840
4148,1916
4284,1876
4200,1964
4236,1840
4144,1884
4188,1848
4340,1956
4240,1904
4188,1848
4312,1832
4308,1856
4324,1844
4084,1824
4204,1800
4248,1820
4112,1944
4212,1800
4144,1880
4204,1932
4096,1804
4152,1924
4268,1952
4280,1804
4204,1836
4092,1896
4264,1872
4232,1800
4252,1892
4112,1788
4260,1896
4292,1876
4208,1816
4280,1896
4220,1812
4096,1800
4096,1800
4108,1796
4320,1884
4204,1816
4320,1808
4260,1732
4108,1792
4108,1864
4216,1800
4296,1864
4164,1808
4276,1884
4092,1760
4172,1900
4216,1852
4224,1900
4104,1824
4260,1888
4112,1812
4196,1800
4108,1872
4116,1944
4092,1888
4096,1832
4208,1828
4268,1748
4260,1824
4320,1860
4292,1892
4156,1832
4304,1896
4228,1820
4320,1820
4092,1804
4236,1872
4104,1748
4288,1876
4300,1828
4232,1804
4388,1888
4148,1964
4204,1816
4108,1808
4144,1888
4100,1868
4268,1800
4260,1788
4240,1824
4096,1796
4092,1788
4108,1852
4152,1740
4244,1784
4284,1808
4116,1804
4280,1868
4312,1812
4108,1788
4264,1776
4148,1812
4152,1800
4204,1828
4216,1816
4164,1864
4268,1848
4260,1880
4264,1812
4108,1860
4112,1792
4108,1912
4280,1908
4144,1848
4292,1824
4212,1856
4292,1780
4156,1840
4304,1816
4324,1824
4160,1904
4144,1880
4188,1876
4220,1836
4272,1820
4144,1812
4288,1848
4192,1908
4216,1828
4088,1824
4192,1840
4252,1952
4108,1844
4300,1924
4340,1896
4224,1896
4220,1840
4240,1832
4328,1832
4156,1880
4344,1788
4192,1876
4192,1800
4392,1892
4140,1888
4320,1884
4152,1892
4168,1892
4144,1800
4164,1820
4304,1956
4328,1840
4104,1844
4268,1828
4348,1820
4352,1940
4248,1848
4180,1824
4132,1828
4252,1816
4268,1836
4116,1872
4188,1932
4288,1940
4344,1852
4132,1800
4312,1912
4308,1888
4276,1836
4172,1872
4352,1884
4180,1836
4136,1884
4316,1900
4244,1816
4328,1824
4256,1884
4268,1892
4148,1804
4140,1836
4336,1960
4184,1852
4352,1876
4140,1860
4276,1880
4248,1960
4292,1760
4148,1824
4336,1888
4280,1812
4348,1924
4168,1872
4144,1904
4300,1768
4120,1844
4304,1820
4160,1768
4228,1824
4320,1756
4304,1856
4192,1888
4240,1792
4152,1848
4276,1924
4268,1796
4096,1868
4216,1820
4104,1804
4280,1812
4268,1804
4260,1792
4096,1812
4264,1876
4160,1848
4272,1840
4244,1876
4276,1924
4152,1812
4244,1912
4124,1792
4104,1796
4112,1800
4268,1784
4104,1776
4268,1724
4112,1852
4312,1804
4216,1928
4260,1800
4276,1868
4116,1808
4272,1868
4100,1920
4268,1892
4204,1792
4212,1816
4264,1872
4272,1892
4108,1864
4108,1812
4096,1796
4104,1916
4144,1732
4216,1884
4148,1812
4264,1804
4276,1768
4136,1748
4208,1796
4148,1864
4104,1804
