sp1,sp2
0.945,0.951
0.666,0.672
0.735,0.752
0.931,0.941
0.739,0.777
0.505,0.637
0.902,0.932
0.776,0.809
0.842,0.853
0.652,0.678
0.596,0.604
0.756,0.824
0.518,0.535
0.69,0.775
0.914,0.932
0.89,0.908
0.809,0.843
0.838,0.865
0.851,0.865
0.796,0.886
0.841,0.845
0.453,0.459
0.818,0.834
0.807,0.833
0.763,0.778
0.967,0.976
0.76,0.752
0.918,0.883
0.827,0.888
0.908,0.912
0.921,0.944
0.784,0.839
0.814,0.862
0.752,0.839
0.798,0.846
0.9,0.93
0.902,0.917
0.566,0.575
0.664,0.687
0.96,0.925
0.85,0.873
0.954,0.957
0.941,0.953
0.767,0.747
0.931,0.941
0.733,0.779
0.763,0.782
0.941,0.955
0.818,0.859
0.874,0.862
0.737,0.768
0.746,0.913
0.81,0.896
0.849,0.817
0.887,0.89
0.945,0.954
0.918,0.911
0.839,0.839
0.857,0.869
0.872,0.882
0.806,0.892
0.864,0.867
0.866,0.831
0.952,0.96
0.818,0.846
0.841,0.827
0.964,0.975
0.828,0.796
0.914,0.887
0.85,0.889
0.929,0.923
0.937,0.943
0.794,0.836
0.883,0.903
0.938,0.937
0.801,0.848
0.916,0.894
0.903,0.915
0.852,0.853
0.877,0.893
0.8,0.828
0.573,0.646
0.487,0.578
0.838,0.852
0.765,0.811
0.643,0.651
0.77,0.783
0.553,0.66
0.426,0.357
0.738,0.749
0.897,0.902
0.608,0.653
0.534,0.59
0.867,0.883
0.628,0.704
0.337,0.603
0.578,0.563
0.799,0.829
0.575,0.616
0.494,0.51
0.512,0.505
0.767,0.834
0.745,0.799
0.64,0.718
0.447,0.597
0.65,0.697
0.576,0.58
0.547,0.47
0.788,0.81
0.759,0.872
0.865,0.854
0.679,0.683
0.522,0.52
0.889,0.857
0.834,0.938
0.688,0.728
0.83,0.81
0.624,0.673
0.74,0.497
0.829,0.845
0.922,0.907
0.613,0.646
0.586,0.615
0.86,0.853
0.655,0.68
0.521,0.598
0.557,0.557
0.917,0.926
0.676,0.747
0.68,0.482
0.596,0.59
0.801,0.79
0.715,0.794
0.709,0.773
0.689,0.629
0.678,0.701
0.584,0.579
0.591,0.503
0.799,0.818
0.853,0.89
0.862,0.916
0.373,0.733
0.863,0.891
0.879,0.903
0.855,0.859
0.692,0.724
0.709,0.71
0.832,0.851
0.669,0.754
0.787,0.864
0.644,0.669
0.82,0.856
0.602,0.727
0.694,0.731
0.74,0.877
0.815,0.849
0.815,0.803
0.841,0.915
0.845,0.874
0.844,0.898
0.885,0.817
0.639,0.722
0.605,0.644
0.847,0.857
0.571,0.637
0.581,0.66
0.836,0.873
0.782,0.837
0.637,0.697
0.538,0.543
0.865,0.89
0.715,0.726
0.573,0.595
0.624,0.705
0.895,0.919
0.71,0.448
0.556,0.731
0.791,0.873
0.864,0.905
0.707,0.841
0.715,0.774
0.683,0.65
0,0.869
0.56,0.585
0.46,0.635
0.837,0.901
0.876,0.879
0.717,0.851
0.594,0.615
0.246,0.422
0.477,0.534
