ram1,ram2
4468,11480
4848,9824
4360,6508
4556,7312
5372,14816
4260,4504
4488,6996
4764,6956
4680,11876
4132,4568
4376,5184
5316,19816
4832,13564
4780,9060
4468,6020
5144,17564
5204,15856
4440,7216
4296,4644
4936,17584
4720,9204
4752,8220
4692,12096
4272,4276
4232,5820
4544,10968
4372,7160
4232,6332
4772,12632
4304,7028
4332,7576
5124,17520
4308,5908
5488,23556
5268,20264
4756,11824
6092,39436
5436,15592
6036,41044
6036,19816
5868,42056
5152,9200
4548,6196
5724,16384
4320,7908
6132,25888
4976,17264
5480,21664
7408,43056
4688,9692
5148,7560
4980,14832
4676,6748
5440,25484
4964,13744
4636,12072
5212,23168
4572,8468
5044,20232
6732,30408
4732,11824
5508,26792
4408,4992
5752,27232
6340,36448
6100,31820
4504,16164
5356,13216
5824,32720
5056,15876
5176,19940
4372,4400
4404,4844
4804,12932
4300,4804
5664,21136
4764,15888
4936,16912
5340,25372
4536,9104
4368,4588
4156,4676
4372,6072
4820,17700
4708,8512
4352,6236
5120,20328
4408,7360
5104,15476
4896,12728
4480,7624
5184,20068
4348,4432
5068,22532
5560,29600
4976,14024
5560,18084
6628,37176
4952,8264
6044,33808
4808,9256
4876,7820
6540,21148
4976,9064
5088,12880
4148,4512
6052,30640
5056,8992
5096,11168
4640,6616
7488,55520
4780,13276
4660,13272
4684,8000
5500,13480
5824,20448
4728,12952
4992,8700
9416,75488
5932,26796
4444,6928
5840,24040
7608,56696
4924,10176
4612,6616
4800,12584
4920,12804
5128,8728
5060,10336
5144,13744
6284,32224
4948,11104
5000,16024
6012,29228
7116,34064
6440,31012
6124,37240
5176,19860
4776,8564
4832,10212
4536,6776
5580,21644
8796,69068
5620,17176
10436,77192
5284,15408
5016,8616
6152,22984
4556,6616
4752,9808
7100,45500
4352,7692
4964,9784
5140,12276
5232,9828
5264,18976
8512,52064
4604,6820
5748,17176
5504,23528
5528,15064
5556,15192
4344,5812
4668,10028
4920,9520
5528,21252
4380,6880
4340,6600
4704,7908
4684,6524
5204,15168
4904,14840
4328,5960
5128,14536
4692,10372
4908,8888
4188,4500
4288,4504
4380,4504
4248,4540
4400,4508
4200,4452
4348,4532
4184,4508
4368,4620
4340,4580
4300,4540
4400,4612
4280,4564
4348,4536
4392,4532
4216,4500
4428,4644
4384,4512
4292,4456
4348,4500
4344,4636
4288,4448
4192,4572
4232,4512
4428,4440
4380,4580
4340,4504
4384,4632
4368,4572
4152,4576
4184,4512
4164,4588
4284,4628
4408,4628
4336,4620
4296,4500
4252,4564
4192,4496
4440,4628
4428,4496
4188,4516
4300,4504
4280,4596
4308,4512
4412,4504
4384,4648
4140,4452
4468,4480
4396,4544
4260,4552
4228,4536
4404,4544
4332,4544
4392,4476
4464,4608
4372,4504
4340,4620
4416,4544
4184,4496
4300,4640
4352,4560
4096,4448
4100,4508
4180,4584
4344,4640
4348,4556
4148,4524
4392,4560
4396,4548
4396,4628
4120,4544
4180,4632
4284,4544
4388,4544
4412,4620
4276,4544
4384,4536
4348,4572
4340,4704
4240,4656
4328,4544
4192,4632
4404,4620
4248,4512
4380,4608
4364,4472
4232,4636
4296,4492
4408,4504
4412,4504
4344,4556
4412,4604
4368,4492
4348,3636
4308,3604
4192,3584
4304,3612
4224,3652
4196,3596
4332,3652
4308,3656
4272,3648
4284,3688
4248,3620
4184,3620
4304,3628
4216,3660
4176,3584
4152,3568
4260,3560
4316,3608
4228,3676
4288,3632
4116,3652
4152,3560
4288,3656
4184,3560
4332,3636
4388,3596
4220,3688
4280,3628
4276,3536
4228,3596
4348,3616
4160,3616
4352,3656
4148,3700
4304,3672
4324,3644
4320,3668
4176,3648
4348,3564
4292,3588
4272,3584
4280,3580
4256,3556
4388,3580
4144,3572
4112,3696
4240,3688
4360,3568
4296,3576
4176,3664
4184,3592
4308,3556
4340,3584
4336,3672
4136,3556
4276,3596
4280,3648
4160,3564
4152,3640
4288,3664
4188,3668
4148,3680
4180,3552
4244,3588
4148,3556
4224,3568
4300,3708
4344,3560
4188,3664
4332,3620
4264,3656
4336,3648
4308,3620
4192,3688
4280,3628
4316,3548
4252,3688
4220,3580
4148,3540
4388,3684
4316,3744
4236,3664
4272,3580
4264,3616
4344,3668
4132,3588
4316,3608
4148,3636
4144,3584
4260,3580
4284,3600
4332,3624
4340,3620
4100,3616
4112,3612
4216,3584
4148,3620
4284,3552
4200,3716
4236,3648
4144,3616
4188,3556
4340,3580
4240,3684
4188,3612
4312,3632
4308,3680
4324,3620
4084,3612
4204,3456
4248,3488
4112,3416
4212,3432
4144,3432
4204,3464
4096,3392
4152,3376
4268,3428
4280,3460
4204,3524
4092,3416
4264,3348
4232,3348
4252,3524
4112,3448
4260,3392
4292,3436
4208,3372
4280,3456
4220,3432
4096,3376
4096,3436
4108,3404
4320,3484
4204,3452
4320,3428
4260,3512
4108,3356
4108,3400
4216,3416
4296,3476
4164,3356
4276,3368
4092,3440
4172,3472
4216,3432
4224,3512
4104,3400
4260,3444
4112,3436
4196,3396
4108,3408
4116,3420
4092,3348
4096,3472
4208,3460
4268,3372
4260,3432
4320,3444
4292,3364
4156,3496
4304,3500
4228,3464
4320,3344
4092,3368
4236,3472
4104,3376
4288,3752
4300,3752
4232,3748
4388,3836
4148,3744
4204,3356
4108,3444
4144,3420
4100,3440
4268,3408
4260,3440
4240,3384
4096,3376
4092,3468
4108,3432
4152,3380
4244,3380
4284,3388
4116,3436
4280,3388
4312,3380
4108,3380
4264,3376
4148,3404
4152,3440
4204,3448
4216,3384
4164,3436
4268,3484
4260,3444
4264,3424
4108,3392
4112,3372
4108,3372
4280,3556
4144,3620
4292,3544
4212,3584
4292,3612
4156,3608
