t1,t2
0.33,8.42
0.92,72.57
2.09,310.58
2.03,319.81
2.1,285.95
0.57,47.03
0.46,22.21
0.38,17.83
0.36,11.85
0.32,13.68
1.58,236.58
2.02,330.67
0.3,9.13
0.32,14.16
0.65,36.4
0.29,14.09
0.45,16.04
0.53,19.58
0.57,32.98
0.63,39.5
0.43,19.21
0.93,53
1.23,93.37
0.83,78.42
0.67,53.04
0.66,47.08
1.34,247.9
0.51,21.56
0.39,14.03
0.88,86.81
1.17,113.51
0.99,159.07
0.28,10.9
0.89,55.3
0.57,46.8
1.01,81.66
0.33,14.55
1.15,52.71
0.51,17.1
0.27,7.33
2.15,496.48
0.36,14.17
1.38,138.16
0.53,56.58
0.51,25.52
1.65,268.67
0.33,13.44
0.53,26.06
1.27,233.6
3.96,600
2.81,257.47
1.64,189.14
2.16,349.21
1.86,195.05
0.34,11.74
1.13,214.84
0.42,25.34
1.97,170.73
0.43,19.55
0.56,41.19
1.79,137.74
1.52,207.93
0.34,10.75
0.72,55.8
1.13,109.01
0.41,28.81
0.48,27.33
0.49,29.21
0.45,15.49
0.61,25.57
1.35,111.78
0.25,8.31
0.39,18.52
0.58,23.81
0.49,30.99
0.65,38.36
2.76,242.67
1.9,295.2
2.11,108
2.11,294.59
1.58,119.88
1.01,115.03
0.35,11.13
0.49,25.85
0.72,23.28
0.31,10.55
0.89,92.25
1.87,118.42
1.61,170.89
0.89,80.98
2.44,313.25
0.3,11.92
0.28,7.73
0.52,22.3
0.57,61.2
0.25,9.09
2.43,251.04
3.28,484.61
2.04,144.03
4.52,442.87
0.76,46.92
1.16,128.33
0.35,13.93
0.59,43.69
0.59,31.56
0.38,17.49
0.44,15.59
1.24,150.77
1.21,144.53
2.16,371.65
0.4,21.19
0.29,10.71
2.53,600
4.02,553.19
0.47,18.91
0.52,35.23
1.07,60.15
0.81,41.95
0.51,23.27
0.57,36.41
0.73,47.49
0.2,5.23
0.020167746,1.298088986
0.028226084,1.557455508
0.014273718,0.960553812
0.007523461,0.07166197
0.005232592,0.066254476
0.005284006,0.059034147
0.029780932,1.612290272
0.004855646,0.177944479
0.005322748,0.058539813
0.023179176,1.488993225
0.016514294,0.588256717
0.009958839,0.438054753
0.018302138,0.777726191
0.007769408,0.253915576
0.102861753,8.098504677
0.004430526,0.090339779
0.015038182,0.651012806
0.006829773,0.206133445
0.022339697,1.842393664
