ram1,ram2
5144,20900
5204,15244
4440,7316
4296,3524
4936,12140
4720,10348
4752,9472
4692,9764
4272,3440
4232,3940
4544,8364
4372,4360
4232,4228
4772,10376
4304,5488
4332,4268
5124,16636
4308,4220
5488,15560
5268,13884
4756,10472
6092,52156
5436,53120
6036,35748
6036,41352
5868,93808
5152,57448
4548,22336
5724,100416
4320,11044
6132,106572
4976,17120
5480,40876
7408,106784
4688,8600
5148,31100
4980,76828
4676,12848
5440,36924
4964,53196
4636,52808
5212,26980
4572,7080
5044,31204
6732,87820
4732,20244
5508,45596
4408,6028
5752,21288
6340,88108
6100,210812
4504,6392
5356,30296
5824,20228
5056,16484
5176,9716
4372,3856
4404,3620
4804,19012
4300,3440
5664,27300
4764,10744
4936,14220
5340,23936
4536,6472
4368,3752
4156,3416
4372,8236
4820,10516
4708,7232
4352,3932
5120,8332
4408,4448
5104,10340
4896,9600
4480,4204
5184,16044
4348,3808
5068,13892
5560,24596
4976,11568
5560,177316
6628,792420
4952,64616
6044,127880
4808,42452
4876,25244
6540,363192
4976,35292
5088,82176
4148,6564
6052,361808
5056,25968
5096,40028
4640,29464
7488,985108
4660,46516
4684,100864
5500,213148
5824,211988
4728,62224
4992,102640
9416,3448584
5932,173192
4444,22852
5840,203524
7608,1003292
4924,38064
4612,29156
4800,44224
4920,71008
5128,99392
5060,47512
5144,53196
6284,422244
4948,36248
5000,66484
6012,722888
7116,551044
6440,343532
6124,402780
5176,114984
4776,54568
4832,24292
4536,23764
5580,175840
8796,1448020
5620,188788
10436,1154716
5284,37344
5016,61264
6152,115584
4556,19196
4752,51504
7100,373884
4352,13188
4964,36668
5140,38172
5232,53112
5264,112428
8512,530872
4604,11016
5748,79924
5504,176920
5528,222144
5556,30804
4344,13916
4668,40024
4920,45972
5528,54704
4380,10380
4340,8596
4704,12380
4684,10476
5204,76948
4904,37696
4328,7196
5128,43784
4692,22320
4908,39072
4188,8160
4288,8172
4380,8200
4248,8536
4400,8196
4200,8520
4348,8132
4184,8284
4368,8156
4340,8280
4300,8132
4400,8140
4280,8224
4348,8520
4392,8188
4216,8112
4428,8200
4384,8248
4292,8196
4348,8244
4344,8336
4288,8156
4192,8304
4232,8340
4428,8136
4380,8336
4340,8172
4384,8204
4368,8252
4152,8252
4184,8256
4164,8300
4284,8200
4408,8268
4336,8592
4296,8268
4252,8136
4192,8192
4440,8192
4428,8100
4188,8348
4300,8160
4280,8200
4308,8556
4412,8200
4384,8564
4140,8212
4468,7944
4396,7944
4260,8012
4228,7916
4404,7940
4332,7956
4392,8012
4464,7980
4372,8192
4340,7920
4416,7940
4184,8056
4300,8044
4352,8056
4096,8056
4100,8036
4180,8072
4344,8044
4348,8048
4148,8376
4392,8048
4396,8044
4396,7924
4120,7924
4180,7928
4284,7928
4388,7932
4412,7928
4276,7932
4384,7924
4348,8136
4340,8204
4240,8140
4328,7932
4192,8544
4404,8456
4248,8304
4380,8532
4364,8236
4232,8696
4296,8248
4408,8520
4412,8660
4344,8160
4412,8264
4368,8204
4348,3660
4308,3820
4192,3660
4304,3636
4224,3624
4196,3656
4332,3636
4308,3632
4272,3648
4284,3640
4248,3644
4184,3600
4304,3580
4216,3684
4176,3648
4152,3688
4260,3600
4316,3600
4228,3696
4288,3632
4116,3620
4152,3628
4288,3672
4184,3608
4332,3644
4388,3640
4220,3644
4280,3600
4276,3544
4228,3700
4348,3760
4160,3544
4352,3592
4148,3740
4304,3640
4324,3604
4320,3644
4176,3644
4348,3644
4292,3648
4272,3644
4280,3636
4256,3584
4388,3824
4144,3612
4112,3684
4240,3564
4360,3684
4296,3616
4176,3688
4184,3688
4308,3596
4340,3648
4336,3696
4136,3616
4276,3688
4280,3804
4160,3608
4152,3704
4288,3636
4188,3584
4148,3648
4180,3664
4244,3636
4148,3620
4224,3888
4300,3784
4344,3612
4188,3568
4332,3608
4264,3584
4336,3544
4308,3580
4192,3652
4280,3684
4316,3608
4252,3748
4220,3604
4148,3536
4388,3688
4316,3636
4236,3560
4272,3680
4264,3568
4344,3680
4132,3540
4316,3672
4148,3668
4144,3600
4260,3532
4284,3536
4332,3548
4340,3680
4100,3540
4112,3588
4216,3684
4148,3540
4284,3576
4200,3808
4236,3564
4144,3568
4188,3576
4340,3632
4240,3608
4188,3612
4312,3648
4308,3648
4324,3680
4084,3640
4204,3300
4248,3216
4112,3316
4212,3120
4144,3252
4204,3184
4096,3252
4152,3240
4268,3268
4280,3496
4204,3404
4092,3216
4264,3268
4232,3200
4252,3400
4112,3252
4260,3180
4292,3252
4208,3288
4280,3384
4220,3492
4096,3248
4096,3208
4108,3256
4320,3276
4204,3184
4320,3276
4260,3264
4108,3244
4108,3236
4216,3120
4296,3484
4164,3156
4276,3232
4092,3252
4172,3472
4216,3248
4224,3268
4104,3244
4260,3256
4112,3176
4196,3168
4108,3248
4116,3484
4092,3216
4096,3308
4208,3252
4268,3260
4260,3296
4320,3304
4292,3320
4156,3328
4304,3508
4228,3300
4320,3264
4092,3240
4236,3220
4104,3196
4288,3976
4300,3968
4232,3972
4388,3980
4148,3972
4204,3256
4108,3232
4144,3224
4100,3284
4268,3236
4260,3260
4240,3256
4096,3220
4092,3236
4108,3232
4152,3220
4244,3220
4284,3268
4116,3268
4280,3252
4312,3228
4108,3216
4264,3228
4148,3256
4152,3128
4204,3244
4216,3252
4164,3120
4268,3140
4260,3120
4264,3180
4108,3096
4112,3084
4108,3088
4280,3536
4144,3532
4292,3556
4212,3544
4292,3544
4156,3532
4304,3552
4324,3560
4160,3576
4144,3544
4188,3548
4220,3544
4272,3540
4144,3572
4288,3600
4192,3580
4216,3580
4088,3584
4192,3576
4252,3580
4108,3580
4300,3576
4340,3540
4224,3576
4220,3580
4240,3588
4328,3628
4156,3632
4344,3628
4192,3636
4192,3620
4392,3636
4140,3628
4320,3548
4152,3624
4168,3640
4144,3636
4164,3624
4304,3544
4328,3540
4104,3556
4268,3536
4348,3544
4352,3540
4248,3548
4180,3556
4132,3540
4252,3536
4268,3540
4116,3540
4188,3536
4288,3580
4344,3540
4132,3592
4312,3592
4308,3552
4276,3608
4172,3580
4352,3584
